"ModuleGroup","Module","TableReference","ModulePurpose","HttpMethod","Endpoint","ShortDescription","LongDescription"
"A_Auth_Mail_FileUpload","/Auth","auth_sp_flows","Support registration, login, OTP, and password recovery flows.","POST","/API/HARRY-CLINTON/Auth/Register","Register a new user","Useful for onboarding a new customer account so they can sign in and place orders. Support registration, login, OTP, and password recovery flows."
"A_Auth_Mail_FileUpload","/Auth","auth_sp_flows","Support registration, login, OTP, and password recovery flows.","POST","/API/HARRY-CLINTON/Auth/Password-Login","Login with password","Useful for authenticating existing users using email and password. Support registration, login, OTP, and password recovery flows."
"A_Auth_Mail_FileUpload","/Auth","auth_sp_flows","Support registration, login, OTP, and password recovery flows.","POST","/API/HARRY-CLINTON/Auth/OTP-Login","Start OTP login","Useful for sending a one-time code to user email for secure sign-in. Support registration, login, OTP, and password recovery flows."
"A_Auth_Mail_FileUpload","/Auth","auth_sp_flows","Support registration, login, OTP, and password recovery flows.","POST","/API/HARRY-CLINTON/Auth/Verify-Login-OTP","Verify OTP code","Useful for completing OTP login after user enters the received code. Support registration, login, OTP, and password recovery flows."
"A_Auth_Mail_FileUpload","/Auth","auth_sp_flows","Support registration, login, OTP, and password recovery flows.","POST","/API/HARRY-CLINTON/Auth/Forgot-Password","Start password reset","Useful when users forget password and need reset initiation. Support registration, login, OTP, and password recovery flows."
"A_Auth_Mail_FileUpload","/Auth","auth_sp_flows","Support registration, login, OTP, and password recovery flows.","POST","/API/HARRY-CLINTON/Auth/Reset-Password","Set new password","Useful for saving a new password after reset validation. Support registration, login, OTP, and password recovery flows."
"A_Auth_Mail_FileUpload","/Auth","auth_sp_flows","Support registration, login, OTP, and password recovery flows.","POST","/API/HARRY-CLINTON/Auth/Forgot-Password-Confirm","Confirm reset process","Useful for final verification step in password recovery workflow. Support registration, login, OTP, and password recovery flows."
"A_Auth_Mail_FileUpload","/FileUpload","file_storage","Upload and store files/media for modules that need attachments.","POST","/API/HARRY-CLINTON/FileUpload","Upload file","Useful for uploading images or documents used by product/content modules. Upload and store files/media for modules that need attachments."
"A_Auth_Mail_FileUpload","/Mail","mail_service","Send transactional and OTP emails to customers.","POST","/API/HARRY-CLINTON/Mail/SendMail","Send custom email","Useful for sending transactional or support emails to customers. Send transactional and OTP emails to customers."
"A_Auth_Mail_FileUpload","/Mail","mail_service","Send transactional and OTP emails to customers.","POST","/API/HARRY-CLINTON/Mail/SendOTPEmail","Send OTP email","Useful for delivering one-time verification codes to user inbox. Send transactional and OTP emails to customers."
