"ModuleGroup","ModuleMount","RouteFile","Crud5Complete","HttpMethod","Endpoint","PayloadContract","ResponseTypes","Notes"
"A_Auth_Mail_FileUpload","/Auth","routes/HARRY_CLINTON/A_Auth_Mail_FileUpload/Auth.js","No","POST","/API/HARRY-CLINTON/Auth/Register","application/json body (module-specific fields)","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"A_Auth_Mail_FileUpload","/Auth","routes/HARRY_CLINTON/A_Auth_Mail_FileUpload/Auth.js","No","POST","/API/HARRY-CLINTON/Auth/Password-Login","application/json body (module-specific fields)","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"A_Auth_Mail_FileUpload","/Auth","routes/HARRY_CLINTON/A_Auth_Mail_FileUpload/Auth.js","No","POST","/API/HARRY-CLINTON/Auth/OTP-Login","application/json body (module-specific fields)","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"A_Auth_Mail_FileUpload","/Auth","routes/HARRY_CLINTON/A_Auth_Mail_FileUpload/Auth.js","No","POST","/API/HARRY-CLINTON/Auth/Verify-Login-OTP","application/json body (module-specific fields)","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"A_Auth_Mail_FileUpload","/Auth","routes/HARRY_CLINTON/A_Auth_Mail_FileUpload/Auth.js","No","POST","/API/HARRY-CLINTON/Auth/Forgot-Password","application/json body (module-specific fields)","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"A_Auth_Mail_FileUpload","/Auth","routes/HARRY_CLINTON/A_Auth_Mail_FileUpload/Auth.js","No","POST","/API/HARRY-CLINTON/Auth/Reset-Password","application/json body (module-specific fields)","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"A_Auth_Mail_FileUpload","/Auth","routes/HARRY_CLINTON/A_Auth_Mail_FileUpload/Auth.js","No","POST","/API/HARRY-CLINTON/Auth/Forgot-Password-Confirm","application/json body (module-specific fields)","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"A_Auth_Mail_FileUpload","/FileUpload","routes/HARRY_CLINTON/A_Auth_Mail_FileUpload/FileUpload.js","No","POST","/API/HARRY-CLINTON/FileUpload","application/json body (module-specific fields)","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"A_Auth_Mail_FileUpload","/Mail","routes/HARRY_CLINTON/A_Auth_Mail_FileUpload/Mail.js","No","POST","/API/HARRY-CLINTON/Mail/SendMail","application/json body (module-specific fields)","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"A_Auth_Mail_FileUpload","/Mail","routes/HARRY_CLINTON/A_Auth_Mail_FileUpload/Mail.js","No","POST","/API/HARRY-CLINTON/Mail/SendOTPEmail","application/json body (module-specific fields)","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"A_User_Access_Management","/Roles","routes/HARRY_CLINTON/A_User_Access_Management/Roles.js","Yes","GET","/API/HARRY-CLINTON/Roles","path/query params as applicable","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"A_User_Access_Management","/Roles","routes/HARRY_CLINTON/A_User_Access_Management/Roles.js","Yes","GET","/API/HARRY-CLINTON/Roles/:id","path/query params as applicable","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"A_User_Access_Management","/Roles","routes/HARRY_CLINTON/A_User_Access_Management/Roles.js","Yes","POST","/API/HARRY-CLINTON/Roles","application/json body (module-specific fields)","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"A_User_Access_Management","/Roles","routes/HARRY_CLINTON/A_User_Access_Management/Roles.js","Yes","PUT","/API/HARRY-CLINTON/Roles","application/json body (module-specific fields)","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"A_User_Access_Management","/Roles","routes/HARRY_CLINTON/A_User_Access_Management/Roles.js","Yes","DELETE","/API/HARRY-CLINTON/Roles","application/json body (module-specific fields)","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"A_User_Access_Management","/User-Roles","routes/HARRY_CLINTON/A_User_Access_Management/UserRoles.js","Yes","GET","/API/HARRY-CLINTON/User-Roles","path/query params as applicable","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"A_User_Access_Management","/User-Roles","routes/HARRY_CLINTON/A_User_Access_Management/UserRoles.js","Yes","GET","/API/HARRY-CLINTON/User-Roles/:id","path/query params as applicable","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"A_User_Access_Management","/User-Roles","routes/HARRY_CLINTON/A_User_Access_Management/UserRoles.js","Yes","GET","/API/HARRY-CLINTON/User-Roles/user/:user_id","path/query params as applicable","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"A_User_Access_Management","/User-Roles","routes/HARRY_CLINTON/A_User_Access_Management/UserRoles.js","Yes","POST","/API/HARRY-CLINTON/User-Roles","application/json body (module-specific fields)","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"A_User_Access_Management","/User-Roles","routes/HARRY_CLINTON/A_User_Access_Management/UserRoles.js","Yes","PUT","/API/HARRY-CLINTON/User-Roles","application/json body (module-specific fields)","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"A_User_Access_Management","/User-Roles","routes/HARRY_CLINTON/A_User_Access_Management/UserRoles.js","Yes","DELETE","/API/HARRY-CLINTON/User-Roles","application/json body (module-specific fields)","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"A_User_Access_Management","/User-Roles","routes/HARRY_CLINTON/A_User_Access_Management/UserRoles.js","Yes","POST","/API/HARRY-CLINTON/User-Roles/add","application/json body (module-specific fields)","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"A_User_Access_Management","/User-Roles","routes/HARRY_CLINTON/A_User_Access_Management/UserRoles.js","Yes","DELETE","/API/HARRY-CLINTON/User-Roles/remove","application/json body (module-specific fields)","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"A_User_Access_Management","/Users","routes/HARRY_CLINTON/A_User_Access_Management/User.js","Yes","GET","/API/HARRY-CLINTON/Users","path/query params as applicable","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"A_User_Access_Management","/Users","routes/HARRY_CLINTON/A_User_Access_Management/User.js","Yes","GET","/API/HARRY-CLINTON/Users/:id","path/query params as applicable","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"A_User_Access_Management","/Users","routes/HARRY_CLINTON/A_User_Access_Management/User.js","Yes","POST","/API/HARRY-CLINTON/Users","application/json body (module-specific fields)","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"A_User_Access_Management","/Users","routes/HARRY_CLINTON/A_User_Access_Management/User.js","Yes","PUT","/API/HARRY-CLINTON/Users","application/json body (module-specific fields)","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"A_User_Access_Management","/Users","routes/HARRY_CLINTON/A_User_Access_Management/User.js","Yes","DELETE","/API/HARRY-CLINTON/Users","application/json body (module-specific fields)","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"B_Customer_Management","/Addresses","routes/HARRY_CLINTON/B_Customer_Management/Addresses.js","Yes","GET","/API/HARRY-CLINTON/Addresses","path/query params as applicable","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"B_Customer_Management","/Addresses","routes/HARRY_CLINTON/B_Customer_Management/Addresses.js","Yes","GET","/API/HARRY-CLINTON/Addresses/:id","path/query params as applicable","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"B_Customer_Management","/Addresses","routes/HARRY_CLINTON/B_Customer_Management/Addresses.js","Yes","POST","/API/HARRY-CLINTON/Addresses","application/json body (module-specific fields)","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"B_Customer_Management","/Addresses","routes/HARRY_CLINTON/B_Customer_Management/Addresses.js","Yes","PUT","/API/HARRY-CLINTON/Addresses","application/json body (module-specific fields)","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"B_Customer_Management","/Addresses","routes/HARRY_CLINTON/B_Customer_Management/Addresses.js","Yes","DELETE","/API/HARRY-CLINTON/Addresses","application/json body (module-specific fields)","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"B_Customer_Management","/Profiles","routes/HARRY_CLINTON/B_Customer_Management/Profiles.js","Yes","GET","/API/HARRY-CLINTON/Profiles","path/query params as applicable","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"B_Customer_Management","/Profiles","routes/HARRY_CLINTON/B_Customer_Management/Profiles.js","Yes","GET","/API/HARRY-CLINTON/Profiles/:id","path/query params as applicable","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"B_Customer_Management","/Profiles","routes/HARRY_CLINTON/B_Customer_Management/Profiles.js","Yes","POST","/API/HARRY-CLINTON/Profiles","application/json body (module-specific fields)","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"B_Customer_Management","/Profiles","routes/HARRY_CLINTON/B_Customer_Management/Profiles.js","Yes","PUT","/API/HARRY-CLINTON/Profiles","application/json body (module-specific fields)","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"B_Customer_Management","/Profiles","routes/HARRY_CLINTON/B_Customer_Management/Profiles.js","Yes","DELETE","/API/HARRY-CLINTON/Profiles","application/json body (module-specific fields)","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"C_Product_Catalog_&_Configuration","/Products","routes/HARRY_CLINTON/C_Product_Catalog_&_Configuration/Products.js","Yes","GET","/API/HARRY-CLINTON/Products","path/query params as applicable","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"C_Product_Catalog_&_Configuration","/Products","routes/HARRY_CLINTON/C_Product_Catalog_&_Configuration/Products.js","Yes","GET","/API/HARRY-CLINTON/Products/:id","path/query params as applicable","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"C_Product_Catalog_&_Configuration","/Products","routes/HARRY_CLINTON/C_Product_Catalog_&_Configuration/Products.js","Yes","POST","/API/HARRY-CLINTON/Products","application/json body (module-specific fields)","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"C_Product_Catalog_&_Configuration","/Products","routes/HARRY_CLINTON/C_Product_Catalog_&_Configuration/Products.js","Yes","PUT","/API/HARRY-CLINTON/Products","application/json body (module-specific fields)","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"C_Product_Catalog_&_Configuration","/Products","routes/HARRY_CLINTON/C_Product_Catalog_&_Configuration/Products.js","Yes","DELETE","/API/HARRY-CLINTON/Products","application/json body (module-specific fields)","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"C_Product_Catalog_&_Configuration","/Products-Attributes","routes/HARRY_CLINTON/C_Product_Catalog_&_Configuration/Products_Attributes.js","Yes","GET","/API/HARRY-CLINTON/Products-Attributes","path/query params as applicable","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"C_Product_Catalog_&_Configuration","/Products-Attributes","routes/HARRY_CLINTON/C_Product_Catalog_&_Configuration/Products_Attributes.js","Yes","GET","/API/HARRY-CLINTON/Products-Attributes/:id","path/query params as applicable","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"C_Product_Catalog_&_Configuration","/Products-Attributes","routes/HARRY_CLINTON/C_Product_Catalog_&_Configuration/Products_Attributes.js","Yes","POST","/API/HARRY-CLINTON/Products-Attributes","application/json body (module-specific fields)","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"C_Product_Catalog_&_Configuration","/Products-Attributes","routes/HARRY_CLINTON/C_Product_Catalog_&_Configuration/Products_Attributes.js","Yes","PUT","/API/HARRY-CLINTON/Products-Attributes","application/json body (module-specific fields)","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"C_Product_Catalog_&_Configuration","/Products-Attributes","routes/HARRY_CLINTON/C_Product_Catalog_&_Configuration/Products_Attributes.js","Yes","DELETE","/API/HARRY-CLINTON/Products-Attributes","application/json body (module-specific fields)","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"C_Product_Catalog_&_Configuration","/Products-Attributes-Values","routes/HARRY_CLINTON/C_Product_Catalog_&_Configuration/Products_Attributes_Values.js","Yes","GET","/API/HARRY-CLINTON/Products-Attributes-Values","path/query params as applicable","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"C_Product_Catalog_&_Configuration","/Products-Attributes-Values","routes/HARRY_CLINTON/C_Product_Catalog_&_Configuration/Products_Attributes_Values.js","Yes","GET","/API/HARRY-CLINTON/Products-Attributes-Values/:id","path/query params as applicable","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"C_Product_Catalog_&_Configuration","/Products-Attributes-Values","routes/HARRY_CLINTON/C_Product_Catalog_&_Configuration/Products_Attributes_Values.js","Yes","POST","/API/HARRY-CLINTON/Products-Attributes-Values","application/json body (module-specific fields)","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"C_Product_Catalog_&_Configuration","/Products-Attributes-Values","routes/HARRY_CLINTON/C_Product_Catalog_&_Configuration/Products_Attributes_Values.js","Yes","PUT","/API/HARRY-CLINTON/Products-Attributes-Values","application/json body (module-specific fields)","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"C_Product_Catalog_&_Configuration","/Products-Attributes-Values","routes/HARRY_CLINTON/C_Product_Catalog_&_Configuration/Products_Attributes_Values.js","Yes","DELETE","/API/HARRY-CLINTON/Products-Attributes-Values","application/json body (module-specific fields)","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"C_Product_Catalog_&_Configuration","/Products-Care-Instructions","routes/HARRY_CLINTON/C_Product_Catalog_&_Configuration/Products_Care_Instructions.js","Yes","GET","/API/HARRY-CLINTON/Products-Care-Instructions","path/query params as applicable","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"C_Product_Catalog_&_Configuration","/Products-Care-Instructions","routes/HARRY_CLINTON/C_Product_Catalog_&_Configuration/Products_Care_Instructions.js","Yes","GET","/API/HARRY-CLINTON/Products-Care-Instructions/:id","path/query params as applicable","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"C_Product_Catalog_&_Configuration","/Products-Care-Instructions","routes/HARRY_CLINTON/C_Product_Catalog_&_Configuration/Products_Care_Instructions.js","Yes","POST","/API/HARRY-CLINTON/Products-Care-Instructions","application/json body (module-specific fields)","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"C_Product_Catalog_&_Configuration","/Products-Care-Instructions","routes/HARRY_CLINTON/C_Product_Catalog_&_Configuration/Products_Care_Instructions.js","Yes","PUT","/API/HARRY-CLINTON/Products-Care-Instructions","application/json body (module-specific fields)","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"C_Product_Catalog_&_Configuration","/Products-Care-Instructions","routes/HARRY_CLINTON/C_Product_Catalog_&_Configuration/Products_Care_Instructions.js","Yes","DELETE","/API/HARRY-CLINTON/Products-Care-Instructions","application/json body (module-specific fields)","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"C_Product_Catalog_&_Configuration","/Products-Cloth-Type-Care-Instructions","routes/HARRY_CLINTON/C_Product_Catalog_&_Configuration/Products_Cloth_Type_Care_Instructions.js","Yes","GET","/API/HARRY-CLINTON/Products-Cloth-Type-Care-Instructions","path/query params as applicable","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"C_Product_Catalog_&_Configuration","/Products-Cloth-Type-Care-Instructions","routes/HARRY_CLINTON/C_Product_Catalog_&_Configuration/Products_Cloth_Type_Care_Instructions.js","Yes","GET","/API/HARRY-CLINTON/Products-Cloth-Type-Care-Instructions/:id","path/query params as applicable","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
"C_Product_Catalog_&_Configuration","/Products-Cloth-Type-Care-Instructions","routes/HARRY_CLINTON/C_Product_Catalog_&_Configuration/Products_Cloth_Type_Care_Instructions.js","Yes","POST","/API/HARRY-CLINTON/Products-Cloth-Type-Care-Instructions","application/json body (module-specific fields)","200 success; 400/405 validation; 404 not found; 409 conflict (some modules); 500 server error","Generated from route files only"
